64,Dundas & Springbank,Woodstock,356162,69125,30750,POINT (-80.732119 43.13448)
65,Front & Division,Trenton,723958,64875,20250,POINT (-77.57917 44.103306)
67,Lakeshore & Broadway,Haileybury,9460,14250,NULL,POINT (-79.631899 47.449651)
68,Park & Railway St,Kenora,20339,NULL,9750,POINT (-94.482424 49.767685)
69,Third & Mowat St,Fort Frances,47434,3375,4900,POINT (-93.398536 48.612916)
70,Lombard St & Ferrara Dr,Smiths Falls,149468,4500,1500,POINT (-76.029731 44.890612)
71,King & Charles St,Gananoque,34529,375,NULL,POINT (-76.160782 44.330528)
72,Dufferin & Wilson,Perth,148049,5250,NULL,POINT (-76.265024 44.907607)
73,King & Dolph,Cambridge-Preston,34776,15000,15750,POINT (-80.352231 43.392911)
74,Queensway & Ireland,Simcoe,147112,27000,71900,POINT (-80.288299 42.848298)
76,Grandview Ave & Silver St,Cobalt,21300,NULL,NULL,POINT (-79.68601 47.395688)
77,Poyntz St & Penetang Rd,Penetang,97950,NULL,18750,POINT (-79.932434 44.765962)
78,Armstrong & Cedar,New Liskeard,14910,28500,18750,POINT (-79.671108 47.506908)
79,Walton St & Peter St,Port Hope,23177,NULL,3750,POINT (-78.293811 43.95208)
80,Sequin & Miller,Parry Sound,160853,66000,98250,POINT (-80.03281 45.343693)
81,Front & Holditch,Sturgeon Falls,177300,NULL,6750,POINT (-79.930471 46.366258)
82,Kent & Hwy 35,Lindsay,319415,48000,31950,POINT (-78.766523 44.348417)
83,Hwy 17 & Tupper St,Hawkesbury,442749,177250,214750,POINT (-74.592488 45.590747)
84,Hwy 62/33 & County Rd 10,Picton,112819,55500,57750,POINT (-77.151122 44.003336)
85,Hwy 417 & Daniel St,Arnprior,407499,30450,73000,POINT (-76.36798 45.421812)
86,King St & Kirkpatrick,Dryden,107271,NULL,22500,POINT (-92.834381 49.784309)
87,Front St & Fourth Ave,Sioux Lookout,30272,NULL,NULL,POINT (-91.915197 50.098149)
88,Mechanic St & Broadway St,Paris,51566,NULL,NULL,POINT (-80.384284 43.19193)
